session_id,station_id,started_at,ended_at,duration_minutes,energy_kwh,station_power_kw,session_type,price_per_kwh,cost_pln,driver_id,is_anomaly
ad3c2d6d1a3d4fa7bc8960a923b8c1e9,506801,2025-08-13T11:49:00+00:00,2025-08-13T12:45:00+00:00,56.0,123.718,149.0,public,0.7922,98.01,DRV_a53330cf-fd67,false
07a0ca6e082248f3ac031199972a8469,176321,2025-12-30T02:44:00+00:00,2025-12-30T07:29:00+00:00,285.0,32.818,8.2,home,0.4311,14.15,DRV_54381a65-801b,false
32e706298fad41a686cb0fb39a1de644,161310,2024-02-07T09:51:00+00:00,2024-02-07T10:14:00+00:00,23.0,13.878,50.0,public,0.6103,8.47,DRV_9057c2b8-4882,false
96da1dac72ff4d2ab86ecbe06b65a6a4,175657,2024-08-27T07:56:00+00:00,2024-08-27T11:27:00+00:00,211.0,31.126,14.6,work,0.3273,10.19,DRV_6aa94041-b059,false
27cd813047224389971aa8766c307511,167250,2025-05-02T23:33:00+00:00,2025-05-03T06:34:00+00:00,421.0,56.106,10.1,home,0.4016,22.54,DRV_e8fc7ee5-2240,false
18c2679761424a7d97be31111a2a73ed,301729,2025-01-03T16:44:00+00:00,2025-01-03T17:06:00+00:00,22.0,102.902,350.0,public,0.6066,62.42,DRV_b1aa7cc4-5273,false
bacfb3d00b1f41638e9ff57f43b7a3a6,194466,2025-05-30T12:29:00+00:00,2025-05-30T13:01:00+00:00,32.0,154.552,350.0,public,0.7219,111.57,DRV_31f28ce1-9446,false
8d5288f1142c4fe8a0e7a113ec1b8ca1,157635,2025-04-25T15:47:00+00:00,2025-04-25T16:33:00+00:00,46.0,64.95,100.0,public,0.7321,47.55,DRV_24a12f2f-29f0,false
93cd59bf5c944cf09c98d2c1e2acf72f,160899,2025-09-14T19:32:00+00:00,2025-09-15T04:27:00+00:00,535.0,43.126,8.3,home,0.4039,17.42,DRV_dfd221ba-fc97,false
3b982ef8daf64a26946d3f31fc377a4c,460080,2024-03-04T09:44:00+00:00,2024-03-04T11:54:00+00:00,130.0,27.544,17.6,work,0.3125,8.61,DRV_907ad639-7d94,false
5d65a441d58842dea2bc372f7412b293,506364,2025-01-18T10:16:00+00:00,2025-01-18T19:17:00+00:00,541.0,41.352,7.0,home,0.3947,16.32,DRV_6a3cd66e-8b84,false
efc89849b3aa4efe8458a885ab9099a4,301728,2025-10-25T14:41:00+00:00,2025-10-25T15:27:00+00:00,46.0,238.902,350.0,public,0.7192,171.82,DRV_b02aa5e0-aa47,false
baa80dd488bd4407abcfbe01a28defe3,176106,2024-11-28T15:34:00+00:00,2024-11-28T23:13:00+00:00,459.0,87.378,16.8,work,0.3294,28.78,DRV_f2d05fba-1905,false
a3d70628ece64fa2bd5166e6451b4cf3,195017,2025-02-27T09:14:00+00:00,2025-02-27T09:37:00+00:00,23.0,72.647,350.0,public,0.6801,49.41,DRV_9c42860a-c769,false
c6a7ee39c4b042cc97c524a55304317f,463059,2024-01-20T21:41:00+00:00,2024-01-21T06:19:00+00:00,518.0,36.657,6.3,home,0.3547,13.0,DRV_aa7b53bb-c1fd,false
f16287e4e9c349e0b602f8ac10f1bc81,162238,2024-08-06T19:22:00+00:00,2024-08-06T23:06:00+00:00,224.0,18.754,8.4,home,0.377,7.07,DRV_077e1306-cd15,false
654821d07fcd4eb1a7cad415366eb16f,161358,2025-01-31T11:37:00+00:00,2025-01-31T18:40:00+00:00,423.0,49.672,14.1,work,0.3354,16.66,DRV_c0b183e2-fb45,false
3f22faf823be401d83cf2fde24933b83,162238,2024-12-22T03:39:00+00:00,2024-12-22T13:37:00+00:00,598.0,85.624,9.9,home,0.3985,34.12,DRV_e2a106af-af28,false
e5d7b8756dad46c795a76d79bf3c4c06,507621,2025-07-25T15:40:00+00:00,2025-07-25T16:22:00+00:00,42.0,11.561,22.2,public,0.8115,9.38,DRV_bb8099c7-e74b,false
827050a823694584bf5e9ff0ff50bde4,312711,2025-05-13T10:41:00+00:00,2025-05-13T14:32:00+00:00,231.0,38.89,18.2,work,0.3432,13.35,DRV_48cb2b71-a5da,false
a0a04dc427204bdf9c11f735dc713d96,175521,2025-11-04T10:25:00+00:00,2025-11-04T10:46:00+00:00,21.0,9.206,40.0,public,0.772,7.11,DRV_3cad45b1-6c08,false
61b1cd2262804c4590435a1098ae4334,176321,2025-10-22T22:37:00+00:00,2025-10-23T06:38:00+00:00,481.0,36.671,7.2,home,0.4009,14.7,DRV_f7271269-ebd3,false
dc5c0eed8da0465bb89897b9405cacec,504573,2024-08-24T13:54:00+00:00,2024-08-24T14:25:00+00:00,31.0,64.698,150.0,public,0.7086,45.85,DRV_5c8118ab-1f0b,false
6f4cc69a4b2243089c8eaee95715bd6f,507632,2024-01-17T08:04:00+00:00,2024-01-17T09:07:00+00:00,63.0,18.507,22.2,public,0.7574,14.02,DRV_c1443cfd-b79c,false
2dbc2134c30f446e8026695ff8cda88b,301731,2025-10-21T12:46:00+00:00,2025-10-21T13:33:00+00:00,47.0,145.359,350.0,public,0.8606,125.1,DRV_14428da1-75a9,false
a39231a7d77744778c66e0a8a013ac6e,502190,2024-11-04T04:07:00+00:00,2024-11-04T12:29:00+00:00,502.0,24.117,6.0,home,0.3794,9.15,DRV_9843a578-ae22,false
8a14be62295b47158333e8615fb8d16c,185538,2024-11-18T16:27:00+00:00,2024-11-18T21:19:00+00:00,292.0,57.035,13.5,work,0.3264,18.62,DRV_4400b502-61bc,false
edd968311ca34cfb84fc6d827d154385,176321,2024-05-30T07:09:00+00:00,2024-05-30T12:47:00+00:00,338.0,23.378,4.7,home,0.3772,8.82,DRV_d8a21f77-07e8,false
f26b4776913e4de2a0c53cb83da9c2a9,160959,2025-07-09T18:46:00+00:00,2025-07-10T01:08:00+00:00,382.0,26.967,4.8,home,0.4102,11.06,DRV_93a9cfe7-945a,false
8cbfedb0f2644cccb9ac1b1ea8e56e0c,175597,2024-09-26T15:02:00+00:00,2024-09-26T20:44:00+00:00,342.0,62.085,19.0,work,0.3222,20.01,DRV_898dfc1d-1675,false
36386821f6e04cc0ac52c49f9b49bd26,175697,2024-06-18T09:42:00+00:00,2024-06-18T10:10:00+00:00,28.0,11.878,40.0,public,0.6163,7.32,DRV_5c2ebdec-787b,false
